sim_id	seed	popsize	selcoef	mutrate	velocity	profile
10	1631011902	5000.0	0.001	0.00117	-0.075742	0.3985516896620676,0.3609379324135173,0.1692488302339532,0.05510509898020396,0.012291021795640872,0.0035554489102179562,0.000260747850429914,4.919016196760648e-05,3.9992001599680065e-08
8	794968611	5000.0	0.001	0.00117	0.138645	0.27518364327134576,0.4307403719256149,0.20947814437112577,0.06398264347130574,0.01666110777844431,0.0036635072985402918,0.00028594281143771245,4.639072185562888e-06
5	77234196	5000.0	0.001	0.00117	0.037360	0.2797375324935013,0.2993498900219956,0.25671729654069186,0.12697700459908018,0.03222803439312138,0.003970685862827434,0.0009718456308738252,4.7670465906818635e-05,3.9992001599680065e-08
17	1482962522	5000.0	0.001	0.00117	-0.040095	0.3004279144171166,0.3504027594481104,0.21860331933613278,0.09234233153369326,0.0320251949610078,0.004211517696460708,0.001932133573285343,5.4789042191561687e-05,3.9992001599680065e-08
19	1443259492	5000.0	0.001	0.00117	-0.039048	0.2370119176164767,0.3463497300539892,0.25603035392921414,0.12112885422915418,0.026440231953609276,0.012381483703259349,0.0006042391521695661,5.258948210357928e-05,5.99880023995201e-07
0	1350581250	5000.0	0.001	0.00117	0.070323	0.36509254149170167,0.39847210557888424,0.16993997200559888,0.05299108178364327,0.009440871825634873,0.0013362927414517097,0.002641031793641272,8.602279544091181e-05,7.998400319936013e-08
13	3081493067	5000.0	0.001	0.00117	0.065071	0.41465550889822034,0.3446319136172765,0.15411581683663267,0.06449178164367127,0.01318116376724655,0.0074843831233753245,0.0011750449910017996,0.0002619876024795041,2.399520095980804e-06
12	3966404674	5000.0	0.001	0.00117	-0.143074	0.34338072385522894,0.34794577084583084,0.19349086182763447,0.07538144371125775,0.02198872225554889,0.005149810037992401,0.011800959808038393,0.0008500299940011998,1.1677664467106578e-05
2	2090201606	5000.0	0.001	0.00117	-0.026022	0.38044127174565084,0.29955212957408517,0.23287162567486502,0.0618996600679864,0.019639632073585284,0.0051350929814037195,0.00043423315336932615,2.6314737052589482e-05,3.9992001599680065e-08
3	1475582984	5000.0	0.001	0.00117	-0.083562	0.2022095980803839,0.3479462907418516,0.25488298340331933,0.1261486102779444,0.057731893621275746,0.009730853829234153,0.0012704259148170365,7.874425114977005e-05,5.99880023995201e-07
