sim_id	seed	popsize	selcoef	sigma	mutrate	velocity	profile
2	1637404684	5000.0	0.001	0.00124	0.006	0.652628	0.00164499100179964,0.005690621875624875,0.008850909818036393,0.012153609278144371,0.014597080583883223,0.05036980603879224,0.0842007598480304,0.10961939612077584,0.13949390121975605,0.14280419916016796,0.1313393321335733,0.10734609078184364,0.08543055388922216,0.05426526694661068,0.02599732053589282,0.014483383323335333,0.007799880023995201,0.003051949610077984,0.0006908618276344731,0.0001378524295140972,1.1917616476704659e-05,1.6996600679864028e-05,3.319336132773445e-06
11	1001017405	5000.0	0.001	0.00124	0.006	0.618250	0.0018807038592281544,0.0038330333933213356,0.01914637072585483,0.05543103379324135,0.1035747650469906,0.14737128574285144,0.15694753049390123,0.1373859628074385,0.105975124975005,0.07885750849830034,0.058427954409118174,0.039380403919216156,0.035970365926814636,0.03030525894821036,0.015283903219356128,0.007121015796840632,0.0023015396920615877,0.0007388522295540892,6.434713057388523e-05,3.039392121575685e-06
6	1100970036	5000.0	0.001	0.00124	0.006	0.738884	0.0008646670665866826,0.008411717656468707,0.018579484103179365,0.016946770645870825,0.034150609878024395,0.08060971805638872,0.14045722855428913,0.17437816436712658,0.1785608478304339,0.14644539092181563,0.09677200559888022,0.05513465306938612,0.02896636672665467,0.013411077784443112,0.004861907618476304,0.0012005998800239952,0.00022935412917416518,1.9316136772645472e-05,1.199760047990402e-07
19	3837767777	5000.0	0.001	0.00124	0.006	1.140803	0.0004326734653069386,0.0029586082783443312,0.007428474305138972,0.015419476104779044,0.031475624875025,0.046983283343331336,0.06051021795640872,0.07675304939012198,0.09421895620875825,0.11384463107378524,0.13353933213357327,0.12398312337532494,0.1116873025394921,0.08568022395520895,0.04882887422515497,0.0237376524695061,0.012198880223955209,0.005617236552689462,0.0025489702059588084,0.0016055588882223555,0.0004846630673865227,5.990801839632074e-05,3.1993601279744052e-06,7.998400319936013e-08
8	1593241656	5000.0	0.001	0.00124	0.006	0.607252	0.0015244551089782044,0.019175604879024196,0.03991025794841032,0.06211701659668067,0.07571445710857828,0.10768390321935613,0.12454245150969806,0.13662815436912618,0.13224143171365726,0.1102617876424715,0.08773325334933013,0.05448250349930014,0.028734373125374926,0.014431593681263748,0.0035649670065986804,0.0007569686062787442,0.00030301939612077585,0.00016944611077784443,2.2595480903819235e-05,1.0797840431913617e-06,6.798640271945611e-07
9	3515230264	5000.0	0.001	0.00124	0.006	0.806685	0.0008602679464107179,0.001149770045990802,0.003136652669466107,0.00469126174765047,0.0030904219156168765,0.008690101979604079,0.02364127174565087,0.047440191961607675,0.09075532893421316,0.14286130773845232,0.16886662667466507,0.15873277344531095,0.1393616876624675,0.0983881623675265,0.05970885822835433,0.03140763847230554,0.01246758648270346,0.0029428114377124575,0.0007774845030993801,0.0003372125574885023,0.0005149770045990801,0.00017036592681463707,7.238552289542091e-06
7	3856912437	5000.0	0.001	0.00124	0.006	0.759626	0.002011957608478304,0.011833113377324535,0.02882595480903819,0.04265110977804439,0.06924687062587483,0.11874249150169966,0.1346372725454909,0.12207922415516896,0.10278068386322735,0.09142987402519497,0.08506130773845232,0.07468582283543292,0.052997720455908816,0.031181723655268945,0.01674117176564687,0.006957968406318737,0.003659028194361128,0.0025355728854229154,0.001603479304139172,0.0002599880023995201,7.326534693061387e-05,4.399120175964807e-06
17	2747289681	5000.0	0.001	0.00124	0.006	0.752385	0.00016860627874425114,0.0006333933213357329,0.00340499900019996,0.014367166566686664,0.040273105378924215,0.08813165366926615,0.16220907818436311,0.19744699060187962,0.16781159768046391,0.12499728054389123,0.09508046390721855,0.05516504699060188,0.028737812437512496,0.011985042991401719,0.00599248150369926,0.0016969006198760247,0.0010191561687662466,0.000719496100779844,0.00010769846030793841,4.679064187162567e-05,5.158968206358728e-06,7.998400319936013e-08
5	466120756	5000.0	0.001	0.00124	0.006	0.679978	0.0006728254349130174,0.0041653269346130775,0.01579112177564487,0.018530093981203758,0.04223387322535493,0.07495704859028195,0.09723939212157569,0.13116780643871226,0.16067982403519296,0.1425350129974005,0.11408174365126975,0.0791001799640072,0.053444431113777245,0.029681983603279345,0.018179164167166566,0.012255548890221955,0.0036595880823835233,0.0010173965206958608,0.0005178964207158568,7.986402719456109e-05,9.878024395120976e-06
4	1308178456	5000.0	0.001	0.00124	0.006	0.636501	0.001904139172165567,0.01131373725254949,0.020661867626474706,0.027866106778644272,0.048540771845630874,0.07760495900819836,0.10067014597080584,0.13145346930613877,0.12937764447110578,0.12666386722655468,0.11661387722455509,0.08997352529494101,0.05551049790041992,0.032371645670865826,0.015138972205558888,0.005846670665866827,0.002437992401519696,0.0018623075384923016,0.0028273945210957807,0.0009112577484503099,0.00027826434713057387,0.0001420515896820636,2.7314537092581482e-05,1.4397120575884822e-06,7.998400319936013e-08
