s	sd	sd/s	U	min_Kolmogorov	RMSE
0.001	0.00129	1.2899999999999998	0.00039	0.0068181899645159	0.0023652345464826
0.001	0.00071	0.71	0.00225	0.0078755646318229	0.0028514613932095
0.001	0.00069	0.69	0.00306	0.0062834281115791	0.0022732597034964
0.001	0.00034	0.34	0.00531	0.0002713614992448	7.937931122680647e-05
0.001	0.00124	1.24	0.00042	0.0059708931504111	0.0024235314363085
0.001	0.00111	1.11	0.00063	0.0094054551949351	0.0032478226684564
0.001	0.00186	1.86	0.00018	0.0084667296999162	0.0032704574213461
0.001	0.0011	1.1	0.00063	0.0100548338154022	0.0033966405346196
0.001	0.00089	0.8899999999999999	0.00105	0.0140219118315337	0.0053449865365732
0.001	0.00103	1.03	0.00066	0.0111404186943795	0.0039352411529188
0.001	2e-05	0.02	0.00591	0.0008109539490552	0.0002944079920737
0.001	1e-05	0.01	0.00606	0.0004695991532642	0.0001750599877731
0.001	0.00077	0.7699999999999999	0.00159	0.0149504730632683	0.0052541752510898
0.001	0.00067	0.67	0.00276	0.0083083888898254	0.002385286241012
0.001	0.00198	1.98	0.00018	0.0078109749461962	0.0032341402539403
0.001	0.00197	1.97	0.00018	0.0085851159332311	0.0034594972724855
0.001	0.00101	1.01	0.00075	0.0091887851238677	0.0033843911136068
0.001	0.00115	1.15	0.00051	0.0086385670525641	0.0029449389787925
0.001	0.00117	1.17	0.00048	0.0078547539989617	0.0030081089671807
0.001	0.00164	1.64	0.00021	0.0069722800686023	0.0025639150866856
0.001	0.00185	1.85	0.00018	0.0091503782368954	0.0033188903287622
0.001	0.00155	1.5499999999999998	0.00021	0.0070655674279165	0.0025061397338747
0.001	0.00126	1.26	0.00042	0.0063759485391555	0.0023411268015624
0.001	0.00037	0.37	0.00435	0.0039879245643734	0.0014133290081716
0.001	0.00187	1.8699999999999999	0.00018	0.0086415663138408	0.0033697074053877
0.001	0.00057	0.57	0.00339	0.0067942298468985	0.0020572437579801
0.001	0.00095	0.95	0.00087	0.0126392093665373	0.0047553431598631
0.001	0.00178	1.7799999999999998	0.00018	0.007357795053826	0.0031165314476189
0.001	0.00036	0.36000000000000004	0.00453	0.0050082808044415	0.0016034300403866
0.001	0.00059	0.59	0.00342	0.001528169482027	0.0004216811959986
0.001	0.00125	1.25	0.00042	0.0054277249210948	0.0021153578521604
0.001	0.0013	1.2999999999999998	0.00033	0.0084308869320639	0.0028730495500756
0.001	0.00028	0.27999999999999997	0.00576	0.0011808275238099	0.0003877952003309
0.001	0.0017	1.7	0.00018	0.0081791590568998	0.0028842552891429
0.001	0.00088	0.88	0.00111	0.0142080037206501	0.0047042896287229
0.001	0.00078	0.7799999999999999	0.00138	0.0191332035828462	0.0067456593619141
0.001	8e-05	0.08	0.00621	0.0010415669453448	0.0003613314067809
0.001	0.00062	0.62	0.00309	0.0021448154202325	0.000681316157621
0.001	0.00173	1.73	0.00018	0.0076469495198798	0.0027161133336714
0.001	0.00171	1.71	0.00018	0.0077592547776663	0.002958062979596
