s	sd	sd/s	U	min_Kolmogorov	RMSE
0.000114	0.00054	1.3499999999999999	0.006	0.0037896713770818	0.0012609258610508
0.00013	0.000496	1.24	0.006	0.0017892750347112	0.000528948941946
0.00033	0.000208	0.5199999999999999	0.006	0.0005157401732412	0.0001885065306814
0.00013	0.000512	1.2799999999999998	0.006	0.0032304498725085	0.0010951451921502
0.00041	2.8e-05	0.06999999999999999	0.006	0.000876702369646	0.0002853761586366
0.000196	0.000396	0.9899999999999999	0.006	0.0024561150967407	0.000782920557225
0.000358	0.000224	0.5599999999999999	0.006	0.0033346223875532	0.0013057541124299
0.000184	0.00042	1.05	0.006	0.0021289238339338	0.0006763759243926
0.000154	0.000472	1.18	0.006	0.0028296707284847	0.0009273657870673
6.2e-05	0.000656	1.64	0.006	0.0065463686089807	0.0023951491851387
5.2e-05	0.000736	1.8399999999999999	0.006	0.0083391620416297	0.0031018906469322
0.000356	0.00016	0.4	0.006	0.0001640720468452	5.653983347019832e-05
4.8e-05	0.000732	1.8299999999999998	0.006	0.0078498896203663	0.0029545583089671
0.000382	8.4e-05	0.20999999999999996	0.006	0.0002129571447859	6.094438367434831e-05
4.2e-05	0.000796	1.99	0.006	0.0084602835710515	0.0030334421075693
9e-05	0.0006	1.4999999999999998	0.006	0.0047096123829024	0.001871914428005
9.6e-05	0.000572	1.43	0.006	0.0069996906457767	0.0022709109074983
0.000354	0.0002	0.5	0.006	0.0017306479751467	0.0005760812068478
0.000272	0.000316	0.7899999999999999	0.006	0.0026081348880273	0.0008118852504597
0.000386	6.4e-05	0.15999999999999998	0.006	0.0006959285892413	0.0002112032403718
0.000364	0.000148	0.36999999999999994	0.006	0.0008454069243122	0.0002924743835358
4.4e-05	0.000748	1.8699999999999999	0.006	0.0066821560037561	0.0024818148624439
4.4e-05	0.000752	1.88	0.006	0.007435543971789	0.0028649351946259
7.6e-05	0.000652	1.63	0.006	0.0055753292216296	0.0020876552822666
0.000218	0.000388	0.97	0.006	0.0008308366104848	0.0003196516350338
9.6e-05	0.00056	1.4	0.006	0.0065066107162391	0.0021041318491029
0.00016	0.000436	1.09	0.006	0.000975357333719	0.0003142206698138
0.000368	0.00014	0.35	0.006	0.0003545913944483	0.0001082086458789
7e-05	0.000636	1.5899999999999999	0.006	0.0055648529233157	0.002016752750561
0.000162	0.000452	1.13	0.006	0.000431922504031	0.0001393572553769
8e-05	0.00062	1.5499999999999998	0.006	0.0047242844397975	0.0017475759858906
0.000246	0.00032	0.8	0.006	0.0011598804869392	0.0004072450835642
0.0002	0.000384	0.96	0.006	0.0009333809453896	0.0002808933338924
0.000226	0.000376	0.94	0.006	0.0004643641865087	0.0001591935885051
0.000198	0.000404	1.01	0.006	0.00148638943466	0.0004756920515783
0.000192	0.0004	1.0	0.006	0.0012081178878052	0.000403933764997
0.000126	0.000504	1.26	0.006	0.003299661428267	0.0011911214993128
0.00029	0.00026	0.6499999999999999	0.006	0.0005471837238955	0.0001800729725517
4.2e-05	0.000776	1.94	0.006	0.0078495955418587	0.0027830152759079
0.00041	2.4e-05	0.06	0.006	0.0017907923138112	0.0005545487465842
5.2e-05	0.00072	1.8	0.006	0.0071075010147055	0.00269083994077
0.000112	0.000548	1.3699999999999999	0.006	0.0030054980652137	0.0010011155355675
0.000206	0.000368	0.9199999999999999	0.006	0.0001007733168177	3.775874521268725e-05
0.000354	0.000176	0.43999999999999995	0.006	0.0019503634211802	0.0006690930506992
0.000358	0.000168	0.41999999999999993	0.006	0.0013972162719187	0.0004203654946294
0.000302	0.000264	0.66	0.006	0.0010201854161238	0.0003269436496906
0.000112	0.000536	1.34	0.006	0.0042218281283109	0.0015422920174969
4.4e-05	0.00078	1.95	0.006	0.0086880432575296	0.0032542426226517
4.2e-05	0.000772	1.93	0.006	0.0077782317787318	0.0028682374574227
5.2e-05	0.000704	1.7599999999999998	0.006	0.0077366098673904	0.0027771377510944
0.000362	0.000108	0.26999999999999996	0.006	0.001517079158169	0.0005679013076668
0.000294	0.000292	0.73	0.006	0.0020041063112808	0.0007435146464536
8.2e-05	0.000616	1.54	0.006	0.0043554795252327	0.0016656795938611
0.000214	0.000348	0.87	0.006	0.0008469392842513	0.0002659187467953
5.2e-05	0.000724	1.81	0.006	0.0070917709192644	0.0027724305703589
6e-05	0.000688	1.72	0.006	0.0066374203270707	0.0025088916609811
0.000398	1.6e-05	0.039999999999999994	0.006	0.001196289341068	0.0003775321403438
0.000272	0.0003	0.7499999999999999	0.006	0.0017108590061603	0.000586409267718
0.000136	0.0005	1.25	0.006	0.0022082587884617	0.0007752589823327
0.000308	0.000236	0.59	0.006	0.0007189752792542	0.0002281867885849
0.000172	0.000424	1.06	0.006	0.0005864191843262	0.0001922681851434
7.6e-05	0.000628	1.5699999999999998	0.006	0.005743817747354	0.0022151604679379
0.000344	0.000212	0.53	0.006	0.0009647605953601	0.0003216620192298
9.6e-05	0.000564	1.4100000000000001	0.006	0.0028823088505719	0.0009447054457104
0.000222	0.00036	0.9	0.006	0.0009993388690214	0.0003200140821333
5.2e-05	0.0007	1.75	0.006	0.0068722322010523	0.0025122288280411
0.000354	0.000164	0.41	0.006	0.0001731996498778	6.554641636585535e-05
0.000392	1.2e-05	0.03	0.006	4.927668510168459e-05	1.64003829412586e-05
0.0003	0.000252	0.63	0.006	0.0019134688561884	0.0006932816324315
0.000368	0.00018	0.45	0.006	0.001836253639501	0.0007017091256466
0.00031	0.000256	0.6399999999999999	0.006	0.0011743751283224	0.0003958438706444
0.000214	0.000352	0.8799999999999999	0.006	0.0022346902404277	0.0006959962580332
0.000402	4.8e-05	0.12	0.006	0.0012548528085118	0.000400411325939
0.00033	0.00022	0.55	0.006	0.0020414048063411	0.0006855931461037
7e-05	0.00064	1.6	0.006	0.0038536347304263	0.0014666705115873
0.000178	0.000428	1.0699999999999998	0.006	0.0021485633525163	0.0007408810273301
7e-05	0.000676	1.6899999999999997	0.006	0.0069307257787548	0.0022694246722885
0.000268	0.000276	0.69	0.006	0.0006565023757887	0.0002206324367414
0.000112	0.000532	1.33	0.006	0.0042370444617372	0.0014747202444896
0.000112	0.000528	1.32	0.006	0.0055680921131197	0.0021611174024181
0.000266	0.000308	0.77	0.006	0.0016502245507526	0.0005034191595024
0.000396	4.4e-05	0.10999999999999999	0.006	0.0004648481370315	0.0001460185465098
0.000166	0.000448	1.1199999999999999	0.006	0.0002569696413748	0.0001051758621909
0.00039	0.0001	0.25	0.006	0.0002294614953889	7.158289674706744e-05
5.2e-05	0.000744	1.8599999999999999	0.006	0.0070607169482166	0.0026975536897947
6.6e-05	0.000692	1.73	0.006	0.0053162707559424	0.0019148861890827
0.000394	5.2e-05	0.12999999999999998	0.006	0.0005183660203585	0.0001639807770742
0.000376	0.000124	0.31	0.006	0.0003254359811905	0.0001262054100312
0.000356	0.000184	0.45999999999999996	0.006	0.0017471905167226	0.0006411714421612
0.0003	0.000232	0.58	0.006	0.0002015617790133	6.102781930914096e-05
0.000386	9.6e-05	0.24	0.006	0.000784074199885	0.0002481234834932
0.000176	0.000416	1.0399999999999998	0.006	0.001369491790118	0.0004356332722694
5e-05	0.00074	1.8499999999999999	0.006	0.0072534358210715	0.0027905033510826
0.000354	0.000136	0.33999999999999997	0.006	0.0009053696358919	0.0003530804917009
0.0003	0.00028	0.7	0.006	0.0032832839588566	0.0010371773549864
0.0003	0.000244	0.61	0.006	0.0004551330815056	0.0001399435522324
0.000228	0.00034	0.85	0.006	0.0001051381991832	3.2769125927528006e-05
6e-05	0.000708	1.7699999999999998	0.006	0.006305763742233	0.0023739246025374
8.2e-05	0.000632	1.5799999999999998	0.006	0.0050044128128852	0.0017291411174463
4.2e-05	0.000756	1.8900000000000001	0.006	0.0078919629361786	0.0029185485814722
0.00037	0.000144	0.36	0.006	0.0004050595980474	0.0001393700338556
0.000364	0.000116	0.29	0.006	0.0010700103088171	0.0003725974547915
4.2e-05	0.000768	1.92	0.006	0.0069254878871825	0.0026666975058752
0.00011	0.000556	1.39	0.006	0.0054538168406548	0.0021564771694561
0.000126	0.000524	1.31	0.006	0.00359464036515	0.0012377912444815
0.000336	0.000216	0.5399999999999999	0.006	0.0012632410219902	0.0004550396080677
6.2e-05	0.00066	1.65	0.006	0.0053114428561554	0.0020693304084006
0.000238	0.000332	0.83	0.006	0.0010927799875265	0.0003557934386094
6e-05	0.000712	1.7799999999999998	0.006	0.0070414757769557	0.0024761570471547
0.000176	0.000432	1.0799999999999998	0.006	0.0015304993167243	0.0004876302928292
0.000354	0.000172	0.43	0.006	0.0019264570970116	0.0006361357781324
9.6e-05	0.000596	1.4899999999999998	0.006	0.0030840737621344	0.0012020319060527
0.000184	0.000408	1.02	0.006	0.0005922908272073	0.0002175013060757
4.4e-05	0.000764	1.91	0.006	0.0083389661127138	0.0030800811732692
0.000334	0.000188	0.47	0.006	0.0006572602509468	0.0002072777806417
0.000136	0.000492	1.23	0.006	0.0020730859000728	0.0006963011100383
8.6e-05	0.000604	1.51	0.006	0.0061315307544624	0.0023683487326926
0.000172	0.00044	1.1	0.006	0.0003047988806765	9.28352550196374e-05
0.000102	0.000576	1.44	0.006	0.00385641070302	0.0013030620799895
6.6e-05	0.00068	1.7	0.006	0.0052413705615441	0.0019303021489196
5.2e-05	0.000716	1.7899999999999998	0.006	0.0078729152781132	0.0029204659669843
9.6e-05	0.000588	1.47	0.006	0.0051574849611972	0.0017503662834817
0.000302	0.00024	0.6	0.006	0.0003974877564623	0.0001224023562257
0.000196	0.000392	0.9799999999999999	0.006	0.0002946945836301	9.269711146998842e-05
0.000388	0.000104	0.25999999999999995	0.006	0.0010935394945732	0.0003758846591879
0.000408	2e-05	0.05	0.006	0.0011100621615708	0.0003845541278887
0.000386	6e-05	0.15	0.006	0.0010510761382767	0.0003408874046596
0.000402	6.8e-05	0.16999999999999998	0.006	0.0002241917271948	7.500850250953647e-05
7.6e-05	0.000644	1.61	0.006	0.0050136566202357	0.0018298185947048
0.000288	0.000284	0.71	0.006	0.0005800231915755	0.0001796705418202
0.000386	5.6e-05	0.13999999999999999	0.006	0.0001176161319471	3.96011752478558e-05
0.000238	0.000312	0.7799999999999999	0.006	0.001475036483403	0.0005608426871728
0.000402	3.2e-05	0.07999999999999999	0.006	0.000515281662894	0.0001695697287319
0.000382	0.000112	0.27999999999999997	0.006	0.0008120372498998	0.0002852051554559
0.00019	0.000412	1.0299999999999998	0.006	0.0012114325019312	0.0004582248730163
0.00038	0.00012	0.3	0.006	0.0006331827784911	0.0002129214750766
0.000394	8e-05	0.2	0.006	0.0001395185306105	5.703831454235392e-05
0.000354	0.000152	0.38	0.006	0.0021414091098285	0.000665402688058
8e-05	0.000592	1.4799999999999998	0.006	0.0055134919256626	0.0019286834619074
0.000222	0.000364	0.91	0.006	0.0002612031559927	9.314027209358728e-05
0.000358	0.000196	0.48999999999999994	0.006	0.0021449667944182	0.0007569763124055
4.2e-05	0.000788	1.9699999999999998	0.006	0.0077156064899421	0.0028791987913255
6.6e-05	0.000684	1.71	0.006	0.0056147514750261	0.0020827243859707
0.0001	0.000552	1.38	0.006	0.0041968711382901	0.0015461607045609
6.2e-05	0.000672	1.6799999999999997	0.006	0.0073311633377875	0.0027746914846687
0.00038	7.6e-05	0.19	0.006	0.0011658777112936	0.0004253764879915
0.00042	4e-06	0.009999999999999998	0.006	0.0014540271365979	0.0005265981898583
6.2e-05	0.000664	1.66	0.006	0.0075658633343628	0.0027691196281913
0.000392	0.0	0.0	0.006	0.0010172355623772	0.0003289837891019
0.000272	0.000304	0.76	0.006	0.0021069052919459	0.0007192940480964
9.6e-05	0.00058	1.45	0.006	0.0047308908451119	0.001737458832923
8e-05	0.000608	1.52	0.006	0.004335794544752	0.0016027915832125
0.000166	0.000456	1.14	0.006	0.0013488644219435	0.000456264167661
0.00022	0.000372	0.9299999999999999	0.006	0.001703036419879	0.0005177419296167
0.000326	0.000204	0.51	0.006	0.0013069053790298	0.0004063743759185
0.000238	0.000344	0.86	0.006	0.0007447240073461	0.0002226928726133
8.2e-05	0.000612	1.53	0.006	0.005689271735471	0.0018957010613932
0.000266	0.000296	0.7399999999999999	0.006	0.0010054775397381	0.0003219711870956
7e-05	0.000668	1.67	0.006	0.0063138238120822	0.00193347244346
0.000358	0.000192	0.48	0.006	0.0022583777575441	0.0007254714007113
0.00016	0.000464	1.16	0.006	0.0013892058184756	0.0004385055291792
0.000102	0.000568	1.42	0.006	0.0054487389672239	0.0019166605850305
0.00016	0.000468	1.17	0.006	0.0020813172832261	0.0006131455955794
0.000128	0.00052	1.2999999999999998	0.006	0.0050754736028031	0.0019081106175818
0.000382	9.2e-05	0.22999999999999998	0.006	0.0004536275513451	0.000158698638984
0.000356	0.000156	0.38999999999999996	0.006	9.363185419963838e-05	3.503933739439017e-05
0.000302	0.000268	0.67	0.006	0.0010011287357843	0.0003254126451201
0.000396	8e-06	0.019999999999999997	0.006	0.0008777233496949	0.0002752951455109
0.000398	8.8e-05	0.21999999999999997	0.006	0.0007520398486109	0.0002277747679155
0.00025	0.000336	0.8399999999999999	0.006	0.0017330285010861	0.0006649024575745
0.000102	0.000584	1.46	0.006	0.0030884931962054	0.0010765733787232
4.4e-05	0.000784	1.9599999999999997	0.006	0.0084822167659761	0.003132824778212
0.000394	3.6e-05	0.09	0.006	0.0005952523329835	0.0001772130800842
0.000354	0.000132	0.33	0.006	0.0008192017458648	0.0002789201475715
0.0003	0.000248	0.62	0.006	0.0005546208315382	0.0001922427303826
